Query,Rank,Method_A,Method_A_letter,Method_B,Method_B_letter,Winner_Method
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",1,TF-IDF,A,TF-IDF + GloVe,B,TF-IDF
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",1,SBERT,B,BERT,A,BERT
Love for Mankind,4,TF-IDF + GloVe,A,BERT,B,TF-IDF + GloVe
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",1,TF-IDF,A,BERT,B,TF-IDF
Love for Mankind,4,SBERT,B,TF-IDF + GloVe,A,SBERT
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",1,SBERT,Y,TF-IDF,X,TF-IDF
Love for Mankind,4,TF-IDF,X,TF-IDF + GloVe,Y,TF-IDF
Love for Mankind,4,SBERT,X,BERT,Y,SBERT
hope,4,BERT,B,TF-IDF + GloVe,A,BERT
Love for Mankind,4,BERT,Y,TF-IDF,X,TF-IDF
hope,4,SBERT,X,TF-IDF + GloVe,Y,SBERT
Love for Mankind,4,TF-IDF,X,SBERT,Y,TF-IDF
hope,4,TF-IDF,A,TF-IDF + GloVe,B,TF-IDF
hope,4,SBERT,Y,BERT,X,BERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",4,TF-IDF + GloVe,B,BERT,A,BERT
hope,4,BERT,X,TF-IDF,Y,BERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",4,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
hope,4,SBERT,X,TF-IDF,Y,SBERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",4,TF-IDF,X,TF-IDF + GloVe,Y,TF-IDF
humlitity,2,BERT,X,SBERT,Y,BERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",4,SBERT,Y,BERT,X,BERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",4,BERT,A,TF-IDF,B,BERT
Psalms that express deep lament and trust in God simultaneously during periods of persecution and feeling abandonedâ€,5,BERT,X,TF-IDF + GloVe,Y,BERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",4,TF-IDF,Y,SBERT,X,SBERT
Psalms that express deep lament and trust in God simultaneously during periods of persecution and feeling abandonedâ€,5,SBERT,X,TF-IDF + GloVe,Y,SBERT
Psalms that express deep lament and trust in God simultaneously during periods of persecution and feeling abandonedâ€,5,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
God with with us,2,BERT,X,TF-IDF + GloVe,Y,BERT
Psalms that express deep lament and trust in God simultaneously during periods of persecution and feeling abandonedâ€,5,BERT,Y,SBERT,X,SBERT
God with with us,2,TF-IDF + GloVe,B,SBERT,A,TF-IDF + GloVe
God with with us,2,TF-IDF + GloVe,B,TF-IDF,A,TF-IDF + GloVe
Psalms that express deep lament and trust in God simultaneously during periods of persecution and feeling abandonedâ€,5,BERT,X,TF-IDF,Y,BERT
God with with us,2,SBERT,Y,BERT,X,BERT
Psalms that express deep lament and trust in God simultaneously during periods of persecution and feeling abandonedâ€,5,TF-IDF,B,SBERT,A,TF-IDF
God with with us,2,BERT,X,TF-IDF,Y,BERT
Transgression,1,TF-IDF + GloVe,B,BERT,A,BERT
God with with us,2,TF-IDF,Y,SBERT,X,SBERT
Transgression,1,SBERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
mercy,1,TF-IDF + GloVe,B,BERT,A,TF-IDF + GloVe
Transgression,1,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
mercy,1,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
Transgression,1,BERT,Y,SBERT,X,SBERT
mercy,1,TF-IDF,X,TF-IDF + GloVe,Y,TF-IDF
Transgression,1,TF-IDF,B,BERT,A,BERT
mercy,1,BERT,X,SBERT,Y,BERT
Transgression,1,TF-IDF,A,SBERT,B,TF-IDF
mercy,1,TF-IDF,A,BERT,B,TF-IDF
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",4,BERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
mercy,1,SBERT,A,TF-IDF,B,SBERT
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",4,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",4,TF-IDF,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",1,TF-IDF + GloVe,Y,BERT,X,BERT
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",4,BERT,A,SBERT,B,BERT
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",1,TF-IDF + GloVe,Y,SBERT,X,SBERT
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",4,BERT,Y,TF-IDF,X,TF-IDF
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",1,TF-IDF,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",4,SBERT,X,TF-IDF,Y,SBERT
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",1,BERT,Y,SBERT,X,SBERT
The Lord is my shepherd,5,TF-IDF + GloVe,X,BERT,Y,TF-IDF + GloVe
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",1,TF-IDF,A,BERT,B,TF-IDF
The Lord is my shepherd,5,TF-IDF + GloVe,Y,SBERT,X,SBERT
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",1,TF-IDF,A,SBERT,B,TF-IDF
The Lord is my shepherd,5,BERT,Y,SBERT,X,SBERT
Which psalms use parallelism heavily to emphasize moral contrast between the righteous and the wicked?â€,3,TF-IDF + GloVe,X,BERT,Y,TF-IDF + GloVe
Have Mercy on me,4,TF-IDF + GloVe,A,BERT,B,TF-IDF + GloVe
Which psalms use parallelism heavily to emphasize moral contrast between the righteous and the wicked?â€,3,SBERT,X,TF-IDF + GloVe,Y,SBERT
Have Mercy on me,4,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
Which psalms use parallelism heavily to emphasize moral contrast between the righteous and the wicked?â€,3,TF-IDF,A,TF-IDF + GloVe,B,TF-IDF
Have Mercy on me,4,TF-IDF,X,TF-IDF + GloVe,Y,TF-IDF
Which psalms use parallelism heavily to emphasize moral contrast between the righteous and the wicked?â€,3,BERT,Y,SBERT,X,SBERT
Have Mercy on me,4,SBERT,X,BERT,Y,SBERT
Which psalms use parallelism heavily to emphasize moral contrast between the righteous and the wicked?â€,3,BERT,A,TF-IDF,B,BERT
Have Mercy on me,4,TF-IDF,Y,BERT,X,BERT
Which psalms use parallelism heavily to emphasize moral contrast between the righteous and the wicked?â€,3,SBERT,X,TF-IDF,Y,SBERT
Have Mercy on me,4,TF-IDF,B,SBERT,A,TF-IDF
Harken unto my prayer,4,TF-IDF + GloVe,Y,BERT,X,BERT
"When the stone had been sealed by the Jews; while the soldiers were guarding Thy most pure Body; Thou didst rise on the third day, O Savior, granting life to the world. The powers of heaven therefore cried to Thee, O Giver of Life: Glory to Thy Resurrection, O Christ! Glory to Thy Kingdom! Glory to Thy dispensation, O Thou who lovest mankind.",3,TF-IDF + GloVe,X,BERT,Y,TF-IDF + GloVe
Harken unto my prayer,4,SBERT,X,TF-IDF + GloVe,Y,SBERT
"When the stone had been sealed by the Jews; while the soldiers were guarding Thy most pure Body; Thou didst rise on the third day, O Savior, granting life to the world. The powers of heaven therefore cried to Thee, O Giver of Life: Glory to Thy Resurrection, O Christ! Glory to Thy Kingdom! Glory to Thy dispensation, O Thou who lovest mankind.",3,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
Harken unto my prayer,4,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
"When the stone had been sealed by the Jews; while the soldiers were guarding Thy most pure Body; Thou didst rise on the third day, O Savior, granting life to the world. The powers of heaven therefore cried to Thee, O Giver of Life: Glory to Thy Resurrection, O Christ! Glory to Thy Kingdom! Glory to Thy dispensation, O Thou who lovest mankind.",3,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
Harken unto my prayer,4,SBERT,B,BERT,A,SBERT
"When the stone had been sealed by the Jews; while the soldiers were guarding Thy most pure Body; Thou didst rise on the third day, O Savior, granting life to the world. The powers of heaven therefore cried to Thee, O Giver of Life: Glory to Thy Resurrection, O Christ! Glory to Thy Kingdom! Glory to Thy dispensation, O Thou who lovest mankind.",3,SBERT,X,BERT,Y,SBERT
Harken unto my prayer,4,TF-IDF,A,BERT,B,TF-IDF
"When the stone had been sealed by the Jews; while the soldiers were guarding Thy most pure Body; Thou didst rise on the third day, O Savior, granting life to the world. The powers of heaven therefore cried to Thee, O Giver of Life: Glory to Thy Resurrection, O Christ! Glory to Thy Kingdom! Glory to Thy dispensation, O Thou who lovest mankind.",3,TF-IDF,A,BERT,B,TF-IDF
Harken unto my prayer,4,SBERT,X,TF-IDF,Y,SBERT
"When the stone had been sealed by the Jews; while the soldiers were guarding Thy most pure Body; Thou didst rise on the third day, O Savior, granting life to the world. The powers of heaven therefore cried to Thee, O Giver of Life: Glory to Thy Resurrection, O Christ! Glory to Thy Kingdom! Glory to Thy dispensation, O Thou who lovest mankind.",3,TF-IDF,B,SBERT,A,SBERT
law,2,BERT,X,TF-IDF + GloVe,Y,BERT
" My Hope is the Father; my Refuge is the Son; my Protection is the Holy Spirit: O Holy Trinity, glory to Thee!",1,BERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
law,2,SBERT,B,TF-IDF + GloVe,A,SBERT
" My Hope is the Father; my Refuge is the Son; my Protection is the Holy Spirit: O Holy Trinity, glory to Thee!",1,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
law,2,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
law,2,BERT,Y,SBERT,X,SBERT
" My Hope is the Father; my Refuge is the Son; my Protection is the Holy Spirit: O Holy Trinity, glory to Thee!",1,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF + GloVe
law,2,BERT,X,TF-IDF,Y,BERT
" My Hope is the Father; my Refuge is the Son; my Protection is the Holy Spirit: O Holy Trinity, glory to Thee!",1,BERT,B,SBERT,A,SBERT
law,2,TF-IDF,A,SBERT,B,TF-IDF
" My Hope is the Father; my Refuge is the Son; my Protection is the Holy Spirit: O Holy Trinity, glory to Thee!",1,TF-IDF,A,BERT,B,TF-IDF
" My Hope is the Father; my Refuge is the Son; my Protection is the Holy Spirit: O Holy Trinity, glory to Thee!",1,SBERT,Y,TF-IDF,X,TF-IDF
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",2,TF-IDF + GloVe,A,BERT,B,TF-IDF + GloVe
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",2,SBERT,A,TF-IDF + GloVe,B,SBERT
thanksgiving,5,TF-IDF + GloVe,Y,BERT,X,BERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",2,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
thanksgiving,5,TF-IDF + GloVe,B,TF-IDF,A,TF-IDF + GloVe
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",2,SBERT,A,BERT,B,SBERT
thanksgiving,5,TF-IDF,B,BERT,A,TF-IDF
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",2,BERT,A,TF-IDF,B,BERT
thanksgiving,5,TF-IDF + GloVe,B,BERT,A,BERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",2,TF-IDF,A,SBERT,B,TF-IDF
thanksgiving,5,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
thanksgiving,5,TF-IDF,B,BERT,A,TF-IDF
protection from enemies,1,BERT,A,TF-IDF + GloVe,B,BERT
protection from enemies,1,SBERT,X,TF-IDF + GloVe,Y,SBERT
Deliverance,5,BERT,X,SBERT,Y,BERT
protection from enemies,1,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF + GloVe
protection from enemies,1,BERT,X,SBERT,Y,BERT
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",2,BERT,A,TF-IDF + GloVe,B,BERT
protection from enemies,1,TF-IDF,A,BERT,B,TF-IDF
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",2,TF-IDF + GloVe,Y,SBERT,X,SBERT
protection from enemies,1,SBERT,Y,TF-IDF,X,TF-IDF
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",2,TF-IDF,A,TF-IDF + GloVe,B,TF-IDF
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",2,BERT,X,SBERT,Y,BERT
Deliverance,3,SBERT,X,BERT,Y,SBERT
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",2,BERT,X,TF-IDF,Y,BERT
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",3,BERT,X,TF-IDF + GloVe,Y,BERT
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",2,TF-IDF,A,SBERT,B,TF-IDF
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",3,TF-IDF + GloVe,B,SBERT,A,SBERT
The Lord is my shepherd,1,BERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",3,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
The Lord is my shepherd,1,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",3,BERT,B,SBERT,A,SBERT
The Lord is my shepherd,1,TF-IDF,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",3,TF-IDF,Y,BERT,X,BERT
The Lord is my shepherd,1,SBERT,A,BERT,B,SBERT
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",3,SBERT,A,TF-IDF,B,SBERT
The Lord is my shepherd,1,TF-IDF,X,BERT,Y,TF-IDF
The Lord is my shepherd,1,TF-IDF,A,SBERT,B,TF-IDF
Psalms that express deep lament and trust in God simultaneously during periods of persecution and feeling abandonedâ€,5,TF-IDF + GloVe,X,BERT,Y,TF-IDF + GloVe
Psalms that express deep lament and trust in God simultaneously during periods of persecution and feeling abandonedâ€,5,SBERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",3,TF-IDF + GloVe,B,BERT,A,BERT
Psalms that express deep lament and trust in God simultaneously during periods of persecution and feeling abandonedâ€,5,TF-IDF,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",3,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
Psalms that express deep lament and trust in God simultaneously during periods of persecution and feeling abandonedâ€,5,SBERT,B,BERT,A,BERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",3,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
Psalms that express deep lament and trust in God simultaneously during periods of persecution and feeling abandonedâ€,5,BERT,A,TF-IDF,B,BERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",3,SBERT,B,BERT,A,BERT
Psalms that express deep lament and trust in God simultaneously during periods of persecution and feeling abandonedâ€,5,TF-IDF,A,SBERT,B,TF-IDF
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",3,TF-IDF,A,BERT,B,TF-IDF
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",1,BERT,X,TF-IDF + GloVe,Y,BERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",3,SBERT,B,TF-IDF,A,TF-IDF
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",1,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
protection from enemies,5,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",1,TF-IDF,A,TF-IDF + GloVe,B,TF-IDF
protection from enemies,5,TF-IDF + GloVe,B,SBERT,A,TF-IDF + GloVe
protection from enemies,5,BERT,X,SBERT,Y,BERT
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",1,SBERT,X,BERT,Y,SBERT
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",1,TF-IDF,Y,BERT,X,BERT
Love for Mankind,1,BERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",1,TF-IDF,B,SBERT,A,SBERT
Love for Mankind,1,SBERT,A,TF-IDF + GloVe,B,SBERT
Love for Mankind,1,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
Raimings in the Lord's will,1,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
Love for Mankind,1,BERT,X,SBERT,Y,BERT
Raimings in the Lord's will,1,SBERT,X,TF-IDF + GloVe,Y,SBERT
Love for Mankind,1,TF-IDF,A,BERT,B,TF-IDF
Raimings in the Lord's will,1,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF + GloVe
Love for Mankind,1,TF-IDF,X,SBERT,Y,TF-IDF
Raimings in the Lord's will,1,SBERT,A,BERT,B,SBERT
Raimings in the Lord's will,1,TF-IDF,X,BERT,Y,TF-IDF
" My Hope is the Father; my Refuge is the Son; my Protection is the Holy Spirit: O Holy Trinity, glory to Thee!",3,TF-IDF + GloVe,X,BERT,Y,TF-IDF + GloVe
Raimings in the Lord's will,1,TF-IDF,B,SBERT,A,TF-IDF
" My Hope is the Father; my Refuge is the Son; my Protection is the Holy Spirit: O Holy Trinity, glory to Thee!",3,SBERT,X,TF-IDF + GloVe,Y,SBERT
" My Hope is the Father; my Refuge is the Son; my Protection is the Holy Spirit: O Holy Trinity, glory to Thee!",3,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
" My Hope is the Father; my Refuge is the Son; my Protection is the Holy Spirit: O Holy Trinity, glory to Thee!",3,BERT,Y,SBERT,X,SBERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",3,BERT,A,TF-IDF + GloVe,B,BERT
" My Hope is the Father; my Refuge is the Son; my Protection is the Holy Spirit: O Holy Trinity, glory to Thee!",3,BERT,X,TF-IDF,Y,BERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",3,SBERT,X,TF-IDF + GloVe,Y,SBERT
" My Hope is the Father; my Refuge is the Son; my Protection is the Holy Spirit: O Holy Trinity, glory to Thee!",3,TF-IDF,B,SBERT,A,SBERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",3,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",3,SBERT,Y,BERT,X,BERT
"O God, cleanse me a sinner, for I have done nothing good before Thee. Deliver me from the evil one, and may Thy will be in me, that I might open my unworthy lips without condemnation and praise Thy holy name, Father, Son, and Holy Spirit, now and ever and unto ages of ages. Amen.
",3,BERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",3,BERT,B,TF-IDF,A,TF-IDF
"O God, cleanse me a sinner, for I have done nothing good before Thee. Deliver me from the evil one, and may Thy will be in me, that I might open my unworthy lips without condemnation and praise Thy holy name, Father, Son, and Holy Spirit, now and ever and unto ages of ages. Amen.
",3,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",3,TF-IDF,A,SBERT,B,TF-IDF
"O God, cleanse me a sinner, for I have done nothing good before Thee. Deliver me from the evil one, and may Thy will be in me, that I might open my unworthy lips without condemnation and praise Thy holy name, Father, Son, and Holy Spirit, now and ever and unto ages of ages. Amen.
",3,TF-IDF,A,TF-IDF + GloVe,B,TF-IDF
"O God, cleanse me a sinner, for I have done nothing good before Thee. Deliver me from the evil one, and may Thy will be in me, that I might open my unworthy lips without condemnation and praise Thy holy name, Father, Son, and Holy Spirit, now and ever and unto ages of ages. Amen.
",3,BERT,B,SBERT,A,SBERT
struggle,3,BERT,Y,SBERT,X,SBERT
